id,num,bus,stu,jj,fes,wd,sd
1,535,0,0,1,1,-22,63
2,613,0,0,1,1,-18,64
3,715,0,0,2,0,-8,56
4,662,0,1,2,0,1,49
5,723,1,1,2,0,10,45
6,692,1,1,3,0,15,48
7,814,1,1,3,0,19,60
8,746,1,1,3,0,16,76
9,739,1,1,4,0,10,75
10,747,1,0,4,0,0,65
11,786,0,0,4,0,-9,57
12,744,0,0,1,1,-19,65
13,763,0,0,1,1,-20,66
14,701,0,0,1,1,-16,58
15,868,0,0,2,0,-6,51
16,808,0,1,2,0,3,47
17,898,1,1,2,0,12,50
18,858,1,1,3,0,17,62
19,962,1,1,3,0,21,78
20,792,1,1,3,0,18,77
21,875,1,1,4,0,12,67
22,930,1,0,4,0,2,59
23,817,0,0,4,0,-7,62
24,835,0,0,1,1,-17,66
25,900,0,0,1,1,-19,68
26,964,0,0,1,1,-15,60
